member_index,post_index,content
39,30,I was wondering the same thing.
4,31,I was wondering the same thing.
4,38,"This was helpful, appreciate it."
3,24,Do you mind sharing the location?
48,49,Thanks for sharing!
42,12,Thanks for sharing!
50,19,I was wondering the same thing.
2,36,I was wondering the same thing.
5,29,Do you mind sharing the location?
8,23,I was wondering the same thing.
33,8,"Good to know, thanks!"
43,2,"Good to know, thanks!"
49,5,I was wondering the same thing.
2,28,Totally agree with this.
49,42,"This was helpful, appreciate it."
22,48,"Good to know, thanks!"
50,26,"Good to know, thanks!"
6,8,I was wondering the same thing.
1,47,Do you mind sharing the location?
2,16,I had a similar experience.
3,7,Thanks for sharing!
13,7,Do you mind sharing the location?
41,50,I had a similar experience.
44,4,Thanks for sharing!
25,4,Thanks for sharing!
12,20,Thanks for sharing!
35,15,Totally agree with this.
5,8,Thanks for sharing!
4,31,Do you mind sharing the location?
33,30,Totally agree with this.
35,40,"Good to know, thanks!"
19,41,Thanks for sharing!
18,6,"This was helpful, appreciate it."
5,46,Thanks for sharing!
13,39,I had a similar experience.
17,6,Do you mind sharing the location?
28,17,Thanks for sharing!
39,42,I was wondering the same thing.
28,31,I had a similar experience.
21,29,Thanks for sharing!
12,22,Totally agree with this.
6,49,"Good to know, thanks!"
33,42,I was wondering the same thing.
35,8,I had a similar experience.
9,30,Totally agree with this.
33,2,Do you mind sharing the location?
39,16,"Good to know, thanks!"
48,14,Totally agree with this.
36,28,"This was helpful, appreciate it."
14,7,"Good to know, thanks!"
48,30,"Good to know, thanks!"
7,18,I was wondering the same thing.
23,31,"Good to know, thanks!"
18,21,"This was helpful, appreciate it."
48,37,"This was helpful, appreciate it."
44,5,Do you mind sharing the location?
47,3,Thanks for sharing!
3,17,Thanks for sharing!
2,50,I was wondering the same thing.
48,17,Totally agree with this.
15,39,"This was helpful, appreciate it."
24,44,Do you mind sharing the location?
36,45,Do you mind sharing the location?
41,31,I had a similar experience.
45,34,I had a similar experience.
5,21,Thanks for sharing!
38,35,"Good to know, thanks!"
23,15,I had a similar experience.
9,18,Thanks for sharing!
20,11,I was wondering the same thing.
33,41,"This was helpful, appreciate it."
21,16,Totally agree with this.
20,1,Do you mind sharing the location?
8,20,Totally agree with this.
14,21,Totally agree with this.
30,20,Thanks for sharing!
11,2,Do you mind sharing the location?
30,45,Do you mind sharing the location?
17,3,I had a similar experience.
40,32,"Good to know, thanks!"
