member_index,interest_item_code
1,RUNNING
2,FOOTBALL
2,MUSIC
3,RUNNING
4,KPOP
4,COOKING
4,PHOTOGRAPHY
5,LANGUAGE_EXCHANGE
5,RUNNING
6,GYM_FITNESS
6,MUSIC
7,KPOP
8,LANGUAGE_EXCHANGE
9,GYM_FITNESS
9,COOKING
9,KPOP
10,PHOTOGRAPHY
11,PHOTOGRAPHY
11,RUNNING
11,GAMING
12,GAMING
12,KPOP
12,PHOTOGRAPHY
13,GAMING
13,YOGA
14,KPOP
15,CAFES
15,FOOTBALL
15,GAMING
16,LOCAL_TRAVEL
16,EXPLORING_NEW_CITY
17,GAMING
17,GYM_FITNESS
18,PHOTOGRAPHY
18,KDRAMA
19,KDRAMA
19,GYM_FITNESS
20,KOREAN_LANGUAGE
20,FOOTBALL
20,HIKING
21,LANGUAGE_EXCHANGE
21,PHOTOGRAPHY
22,MOVIES
23,GAMING
23,MOVIES
23,GYM_FITNESS
24,EXPLORING_NEW_CITY
25,MOVIES
26,HIKING
26,KDRAMA
27,GYM_FITNESS
27,CAFES
28,CAFES
28,MOVIES
29,EXPLORING_NEW_CITY
30,KPOP
31,FOOTBALL
32,LANGUAGE_EXCHANGE
32,KDRAMA
32,CAMPUS_EVENTS
33,MOVIES
33,RUNNING
33,KDRAMA
34,KDRAMA
35,LANGUAGE_EXCHANGE
35,PHOTOGRAPHY
35,KDRAMA
36,LANGUAGE_EXCHANGE
36,KPOP
36,KDRAMA
37,KOREAN_LANGUAGE
38,MUSIC
38,MOVIES
39,MUSIC
39,LANGUAGE_EXCHANGE
39,KOREAN_LANGUAGE
40,MOVIES
40,MUSIC
40,KDRAMA
41,GAMING
42,MUSIC
43,PHOTOGRAPHY
43,HIKING
44,YOGA
45,CAFES
46,YOGA
46,GYM_FITNESS
46,HIKING
47,KPOP
47,PHOTOGRAPHY
48,KDRAMA
48,KPOP
48,CAMPUS_EVENTS
49,KPOP
50,EXPLORING_NEW_CITY
50,CAFES
