id,member_id,post_id,content,parent_id,like_count,created_at,updated_at,deleted_at
1,8,72,"Sounds interesting, I want to try this.",,0,2026-01-19T06:27:52.624364Z,,
2,40,29,"Sounds interesting, I want to try this.",,0,2026-01-24T11:58:52.624406Z,,
3,38,55,I had the same question before.,,0,2026-01-20T07:14:52.624425Z,,
4,40,13,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-18T20:01:52.624444Z,,
5,43,11,"Thanks for sharing, this helps a lot.",,0,2026-01-31T20:42:52.624462Z,,
6,5,21,I totally agree with this!,,0,2026-01-25T11:33:52.624480Z,,
7,39,61,I had the same question before.,,0,2026-02-06T18:59:52.624495Z,,
8,46,37,다음에 같이 가요!,,0,2026-02-05T05:03:52.624509Z,,
9,17,76,이거 진짜 공감돼요 ㅋㅋ,,0,2026-01-25T22:43:52.624527Z,,
10,15,20,I had the same question before.,,0,2026-02-04T00:14:52.624543Z,,
11,11,40,I had the same question before.,,0,2026-01-24T22:48:52.624559Z,,
12,45,39,"Sounds interesting, I want to try this.",,0,2026-01-30T09:43:52.624573Z,,
13,32,57,저도 비슷하게 느꼈어요.,,0,2026-01-20T00:21:52.624588Z,,
14,28,42,I had the same question before.,,0,2026-02-08T00:03:52.624604Z,,
15,44,74,I totally agree with this!,,0,2026-01-30T08:15:52.624619Z,,
16,49,23,다음에 같이 가요!,,0,2026-01-22T05:49:52.624634Z,,
17,18,24,"Sounds interesting, I want to try this.",,0,2026-01-18T11:12:52.624666Z,,
18,31,45,"Sounds interesting, I want to try this.",,0,2026-01-28T15:35:52.624681Z,,
19,7,21,저도 궁금했는데 감사합니다!,,0,2026-01-25T03:46:52.624696Z,,
20,19,52,I totally agree with this!,,0,2026-01-24T23:57:52.624712Z,,
21,17,42,저도 비슷하게 느꼈어요.,,0,2026-01-26T09:25:52.624727Z,,
22,1,70,다음에 같이 가요!,,0,2026-01-26T01:05:52.624743Z,,
23,34,47,다음에 같이 가요!,,0,2026-01-18T11:29:52.624757Z,,
24,4,27,I had the same question before.,,0,2026-01-21T21:18:52.624771Z,,
25,19,57,다음에 같이 가요!,,0,2026-02-05T01:37:52.624786Z,,
26,39,31,"Thanks for sharing, this helps a lot.",,0,2026-01-29T09:17:52.624801Z,,
27,36,53,저도 비슷하게 느꼈어요.,,0,2026-01-31T22:48:52.624816Z,,
28,8,20,다음에 같이 가요!,,0,2026-01-29T09:32:52.624830Z,,
29,18,54,다음에 같이 가요!,,0,2026-01-23T18:48:52.624845Z,,
30,36,19,"Sounds interesting, I want to try this.",,0,2026-02-01T06:45:52.624859Z,,
31,48,18,저도 비슷하게 느꼈어요.,,0,2026-01-30T12:56:52.624874Z,,
32,33,35,I totally agree with this!,,0,2026-01-29T02:58:52.624888Z,,
33,38,75,다음에 같이 가요!,,0,2026-02-03T11:43:52.624903Z,,
34,31,45,저도 궁금했는데 감사합니다!,,0,2026-01-21T08:53:52.624916Z,,
