member_id,post_id
49,1
11,1
18,1
33,2
10,2
28,2
6,2
15,2
29,2
2,3
27,3
4,3
26,3
33,3
16,4
25,4
6,4
24,4
15,4
21,5
7,5
46,5
10,6
9,6
3,6
19,6
31,6
49,7
46,7
31,7
29,7
1,8
6,8
2,8
17,8
14,8
10,8
36,8
34,9
28,9
8,9
19,9
16,9
20,9
48,9
16,10
27,10
41,10
30,11
5,11
8,11
32,11
39,11
35,11
2,11
37,12
16,12
46,12
10,12
19,12
28,12
1,12
23,13
16,13
37,13
27,13
12,13
43,13
45,13
34,14
24,14
5,14
35,15
33,15
49,15
36,15
2,15
25,15
31,15
41,16
25,16
24,16
48,17
2,17
23,17
5,17
16,17
50,18
38,18
48,18
9,19
3,19
23,19
35,19
22,19
50,20
44,20
30,20
45,20
41,21
12,21
9,21
5,21
46,21
30,21
19,22
13,22
3,22
3,23
21,23
20,23
33,23
35,24
31,24
17,24
3,24
42,24
13,24
23,25
50,25
4,25
42,25
22,25
8,26
24,26
28,26
26,26
48,26
25,27
22,27
12,27
32,27
45,27
47,27
34,28
18,28
6,28
47,28
28,28
28,29
39,29
12,29
19,30
21,30
7,30
6,30
49,30
43,30
50,30
29,31
39,31
46,31
28,31
11,31
23,32
29,32
3,32
47,32
50,32
40,32
18,33
41,33
4,33
5,33
43,33
49,33
24,34
33,34
48,34
44,34
11,34
2,34
39,35
44,35
29,35
3,35
5,36
16,36
50,36
42,36
24,37
25,37
37,37
3,37
39,37
44,38
29,38
24,38
49,38
37,39
9,39
34,39
26,40
21,40
42,40
18,40
16,40
2,41
48,41
12,41
34,42
25,42
36,42
8,42
17,42
46,42
14,43
40,43
19,43
45,43
32,43
13,43
9,44
5,44
29,44
46,45
29,45
6,45
44,45
43,46
23,46
46,46
5,46
36,46
19,47
20,47
11,47
46,47
47,47
45,47
41,47
24,48
33,48
15,48
8,48
9,49
16,49
32,49
2,49
36,50
37,50
24,50
30,50
9,50
6,51
5,51
20,51
26,51
46,51
31,51
34,51
50,52
27,52
37,52
5,52
9,52
21,52
29,53
30,53
44,53
23,54
9,54
36,54
41,54
38,54
12,54
49,54
33,55
4,55
8,55
34,55
10,55
20,55
11,56
21,56
46,56
15,56
34,57
19,57
6,57
17,57
13,57
18,58
9,58
41,58
20,58
40,58
35,58
6,58
42,59
11,59
38,59
48,59
10,59
49,59
43,59
47,60
39,60
22,60
37,60
3,60
2,60
6,60
42,61
50,61
37,61
42,62
14,62
50,62
37,62
27,62
41,63
2,63
32,63
50,63
35,63
19,63
42,63
31,64
16,64
44,64
26,64
20,64
5,65
45,65
4,65
11,65
29,65
27,65
30,66
14,66
22,66
39,66
10,66
21,66
47,67
23,67
26,67
9,67
49,67
33,68
36,68
7,68
21,68
16,68
8,69
18,69
29,69
16,69
10,69
7,69
19,70
25,70
40,70
16,71
11,71
21,71
37,71
48,71
13,71
32,72
33,72
30,72
20,72
2,73
6,73
26,73
33,73
30,73
16,73
38,74
23,74
4,74
19,74
39,75
42,75
44,75
31,75
19,75
35,75
7,76
28,76
9,76
47,77
24,77
49,77
26,77
3,77
4,78
37,78
36,78
13,78
24,78
48,78
5,79
25,79
33,79
29,79
49,79
18,80
40,80
44,80
49,80
8,80
9,80
7,80
