id,member_id,title,content,category,like_count,comment_count,created_at,updated_at,deleted_at
1,32,Any good places near campus?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-02-01T10:27:41.941158Z,2026-01-20T11:46:41.941222Z,
2,73,Looking for people to join this weekend,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",EATS,0,0,2026-01-17T21:12:41.941277Z,2026-01-29T23:54:41.941290Z,
3,58,Best budget food spots around here,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",QNA,0,0,2026-01-28T00:29:41.941321Z,2026-01-27T14:33:41.941331Z,
4,37,Best budget food spots around here,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",ACTIVITY,0,0,2026-01-26T12:29:41.941359Z,2026-01-27T05:51:41.941368Z,
5,41,한국 생활하면서 제일 놀랐던 점,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",ACTIVITY,0,0,2026-01-31T17:25:41.941393Z,2026-02-01T19:34:41.941402Z,
6,69,Things I learned after one month in Korea,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",DAILY_TIPS,0,0,2026-01-19T17:24:41.941425Z,2026-01-15T15:31:41.941434Z,
7,64,Looking for people to join this weekend,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",CAMPUS,0,0,2026-01-28T06:29:41.941458Z,2026-01-26T20:43:41.941503Z,
8,76,혼자 가기 좋은 카페 추천?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-01-23T09:09:41.941529Z,2026-01-30T23:03:41.941539Z,
9,60,한국 생활하면서 제일 놀랐던 점,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",QNA,0,0,2026-01-27T12:22:41.941564Z,2026-01-31T21:13:41.941574Z,
10,75,Any good places near campus?,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",QNA,0,0,2026-02-05T01:23:41.941595Z,2026-01-16T02:18:41.941605Z,
11,59,한국 생활하면서 제일 놀랐던 점,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",DAILY_TIPS,0,0,2026-01-18T11:07:41.941627Z,2026-01-31T00:27:41.941636Z,
12,74,Best budget food spots around here,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",CAMPUS,0,0,2026-01-30T21:21:41.941661Z,2026-01-29T22:49:41.941670Z,
13,37,한국 생활하면서 제일 놀랐던 점,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",EATS,0,0,2026-02-03T17:22:41.941693Z,2026-01-29T18:09:41.941702Z,
14,46,Any good places near campus?,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",QNA,0,0,2026-01-26T05:23:41.941724Z,2026-02-04T03:19:41.941734Z,
15,49,주말에 뭐 하면 좋을까요?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-01-26T06:21:41.941756Z,2026-02-04T06:37:41.941765Z,
16,58,Things I learned after one month in Korea,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",EATS,0,0,2026-01-20T18:07:41.941790Z,2026-01-17T19:10:41.941799Z,
17,57,주말에 뭐 하면 좋을까요?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-01-22T05:46:41.941821Z,2026-02-01T01:20:41.941830Z,
18,45,한국 생활하면서 제일 놀랐던 점,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",EATS,0,0,2026-01-23T08:42:41.941855Z,2026-02-01T05:44:41.941872Z,
19,47,혼자 가기 좋은 카페 추천?,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",CAMPUS,0,0,2026-01-16T15:00:41.941893Z,2026-01-31T12:55:41.941903Z,
20,41,Looking for people to join this weekend,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",ACTIVITY,0,0,2026-01-29T10:12:41.941924Z,2026-01-18T14:40:41.941933Z,
21,76,혼자 가기 좋은 카페 추천?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",DAILY_TIPS,0,0,2026-01-22T23:22:41.941956Z,2026-01-24T01:46:41.941965Z,
22,42,Best budget food spots around here,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",ACTIVITY,0,0,2026-01-19T22:58:41.941990Z,2026-01-29T02:00:41.941998Z,
23,41,Best budget food spots around here,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",CAMPUS,0,0,2026-01-24T15:36:41.942021Z,2026-01-17T08:15:41.942029Z,
24,55,주말에 뭐 하면 좋을까요?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",DAILY_TIPS,0,0,2026-01-31T18:53:41.942052Z,2026-02-05T06:46:41.942060Z,
25,78,Best budget food spots around here,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",QNA,0,0,2026-01-30T02:03:41.942085Z,2026-01-24T21:49:41.942093Z,
26,36,주말에 뭐 하면 좋을까요?,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",DAILY_TIPS,0,0,2026-01-16T04:50:41.942445Z,2026-01-21T08:56:41.942466Z,
27,41,수업 들으면서 알게 된 꿀팁,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",ACTIVITY,0,0,2026-01-20T08:48:41.942492Z,2026-01-19T17:43:41.942501Z,
28,67,혼자 가기 좋은 카페 추천?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-01-24T01:22:41.942527Z,2026-02-01T03:10:41.942535Z,
29,43,혼자 가기 좋은 카페 추천?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",CAMPUS,0,0,2026-01-22T09:56:41.942558Z,2026-01-24T03:31:41.942567Z,
30,54,Looking for people to join this weekend,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",EATS,0,0,2026-02-02T08:29:41.942591Z,2026-01-15T16:03:41.942599Z,
31,69,Looking for people to join this weekend,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",EATS,0,0,2026-01-28T06:03:41.942623Z,2026-01-31T16:17:41.942631Z,
32,31,Best budget food spots around here,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",QNA,0,0,2026-01-17T13:16:41.942653Z,2026-01-18T11:07:41.942661Z,
33,71,한국 생활하면서 제일 놀랐던 점,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",DAILY_TIPS,0,0,2026-01-21T15:31:41.942683Z,2026-01-27T12:54:41.942691Z,
34,38,한국 생활하면서 제일 놀랐던 점,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",CAMPUS,0,0,2026-01-28T12:03:41.942713Z,2026-01-24T09:33:41.942721Z,
35,66,Looking for people to join this weekend,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",EATS,0,0,2026-01-30T18:38:41.942741Z,2026-01-30T21:41:41.942750Z,
36,72,한국 생활하면서 제일 놀랐던 점,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",EATS,0,0,2026-01-15T11:38:41.942771Z,2026-01-19T19:43:41.942780Z,
37,48,혼자 가기 좋은 카페 추천?,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",ACTIVITY,0,0,2026-01-17T00:20:41.942801Z,2026-02-02T11:40:41.942809Z,
38,48,수업 들으면서 알게 된 꿀팁,"This is something I noticed recently and thought it might be helpful. Please feel free to share your thoughts.

혹시 비슷한 경험 있으신 분들 계시면 댓글로 알려주세요!",DAILY_TIPS,0,0,2026-02-04T07:54:41.942832Z,2026-01-28T12:08:41.942840Z,
39,47,Looking for people to join this weekend,"I am still getting used to everything, but overall it has been a great experience.

아직 낯선 부분도 많지만, 천천히 적응해가고 있는 중이에요.",EATS,0,0,2026-01-15T15:41:41.942862Z,2026-02-04T11:47:41.942870Z,
40,53,Things I learned after one month in Korea,"I have been staying in Korea for a while and wanted to share my experience. It has been really interesting to see how daily life works here.

요즘 한국 생활에 조금 익숙해졌는데, 생각보다 재밌는 점이 많아요. 다른 분들은 어떤 경험을 하고 계신지 궁금합니다.",ACTIVITY,0,0,2026-01-15T21:05:41.942894Z,2026-01-23T05:37:41.942902Z,
