member_id,interest_item_code
31,GAMING
31,YOGA
32,GAMING
32,CAMPUS_EVENTS
32,KPOP
33,KDRAMA
33,HIKING
34,COOKING
34,YOGA
34,MUSIC
34,CAMPUS_EVENTS
35,KOREAN_LANGUAGE
35,KPOP
35,LANGUAGE_EXCHANGE
36,PHOTOGRAPHY
36,FOOTBALL
36,KDRAMA
37,EXPLORING_NEW_CITY
37,FOOTBALL
38,COOKING
38,KOREAN_LANGUAGE
39,KPOP
39,EXPLORING_NEW_CITY
39,CAFES
39,YOGA
40,HIKING
40,GYM_FITNESS
40,LANGUAGE_EXCHANGE
41,GYM_FITNESS
41,HIKING
42,COOKING
42,EXPLORING_NEW_CITY
43,KOREAN_LANGUAGE
43,GAMING
43,CAMPUS_EVENTS
44,MUSIC
44,KPOP
44,GYM_FITNESS
45,MUSIC
45,MOVIES
46,MUSIC
46,CAFES
46,KPOP
47,CAMPUS_EVENTS
47,MUSIC
47,MOVIES
48,EXPLORING_NEW_CITY
48,LOCAL_TRAVEL
48,MOVIES
49,GYM_FITNESS
49,CAFES
50,COOKING
50,KOREAN_LANGUAGE
50,GYM_FITNESS
50,EXPLORING_NEW_CITY
51,LANGUAGE_EXCHANGE
51,KPOP
51,KDRAMA
52,RUNNING
52,CAFES
52,MOVIES
53,KDRAMA
53,MOVIES
54,CAMPUS_EVENTS
54,COOKING
55,EXPLORING_NEW_CITY
55,KOREAN_LANGUAGE
55,KDRAMA
56,KPOP
56,HIKING
57,MOVIES
57,YOGA
57,CAMPUS_EVENTS
58,CAMPUS_EVENTS
58,GYM_FITNESS
58,HIKING
59,LANGUAGE_EXCHANGE
59,FOOTBALL
59,HIKING
60,EXPLORING_NEW_CITY
60,CAFES
60,KDRAMA
60,FOOTBALL
61,YOGA
61,GYM_FITNESS
62,FOOTBALL
62,KOREAN_LANGUAGE
62,KDRAMA
62,MUSIC
63,EXPLORING_NEW_CITY
63,RUNNING
63,KPOP
64,GYM_FITNESS
64,KPOP
65,GYM_FITNESS
65,MOVIES
65,YOGA
66,COOKING
66,KPOP
66,PHOTOGRAPHY
66,KDRAMA
67,EXPLORING_NEW_CITY
67,RUNNING
67,CAMPUS_EVENTS
67,PHOTOGRAPHY
68,GYM_FITNESS
68,COOKING
69,MOVIES
69,LOCAL_TRAVEL
69,KPOP
70,KDRAMA
70,PHOTOGRAPHY
70,MOVIES
70,MUSIC
71,HIKING
71,KDRAMA
71,KOREAN_LANGUAGE
72,GAMING
72,MUSIC
73,CAFES
73,KPOP
74,MOVIES
74,CAMPUS_EVENTS
74,COOKING
74,MUSIC
75,CAMPUS_EVENTS
75,FOOTBALL
76,PHOTOGRAPHY
76,KPOP
77,CAMPUS_EVENTS
77,KDRAMA
77,MUSIC
77,KOREAN_LANGUAGE
78,EXPLORING_NEW_CITY
78,KOREAN_LANGUAGE
78,RUNNING
78,KPOP
79,HIKING
79,KOREAN_LANGUAGE
79,GAMING
79,CAFES
80,COOKING
80,MOVIES
